input,label,output
Some people believe in extraterrestrial life because they think aliens exist.,2,circular reasoning
Chocolate truffles must be healthy—everyone eats them at parties.,3,ad populum
Melatonin helps with jet lag—millions of people use it every night.,3,ad populum
Not all political candidates are truthful—most people already assume that.,3,ad populum
Naomi Osaka plays tennis—everyone is watching her matches.,3,ad populum
All film stars are celebrities—just ask anyone who reads magazines.,3,ad populum
"Some film stars are men—most movies are led by men, so that must be the norm.",3,ad populum
Tortured prisoners will say anything—everybody knows that from the movies.,3,ad populum
All mammals have hearts—no one disputes that.,3,ad populum
Some books are written by AI—everyone's talking about it online.,3,ad populum
Every Olympic athlete trains daily—just ask the fans.,3,ad populum
Some teachers assign weekend homework—students everywhere complain about it.,3,ad populum
My neighbor hasn't traveled abroad—most people in this town haven't either.,3,ad populum
Jon has cooked restaurant-quality steak—everyone who's tried it says it's amazing.,3,ad populum
Crypto prices fluctuate wildly—everyone's saying it's the wild west of investing.,3,ad populum
Honey never spoils—people have believed that for centuries.,3,ad populum
Many believe time helps recovery—because that's what everyone says.,3,ad populum
The Great Wall is visible from space—almost everyone believes that.,3,ad populum
Some lawyers are dishonest—just ask the general public.,3,ad populum
Most social media is addictive—everyone knows it ruins productivity.,3,ad populum
Nothing travels faster than light—everyone accepts that from physics class.,3,ad populum
Nobody enjoys traffic—everyone complains about it every day.,3,ad populum
Some dogs detect seizures—everyone's seen those stories.,3,ad populum
Not all electric cars are green—most car buyers already know that.,3,ad populum
Einstein developed relativity—every student learns that in school.,3,ad populum
Every continent has experienced climate change—it's what all the news reports say.,3,ad populum
Bananas contain potassium—everyone knows bananas are good for that.,3,ad populum
The internet came before smartphones—anyone with a computer remembers that.,3,ad populum
No reptiles produce milk—everyone who took biology knows that.,3,ad populum
"Most airplanes fly above 30,000 feet—just ask any frequent flyer.",3,ad populum
Some people believe in aliens—just look at all the documentaries on TV.,3,ad populum
"Chocolate truffles are loaded with calories, so you either give them up or get fat.",4,false dilemma
"Melatonin helps with jet lag, so you can either take it or suffer all night.",4,false dilemma
"Not all political candidates are truthful, so you must either distrust all of them or be a blind follower.",4,false dilemma
"Naomi Osaka plays tennis, so you either support her or you're against women in sports.",4,false dilemma
"All film stars are celebrities, so you either follow their lives or you're totally out of touch.",4,false dilemma
"Some film stars are men, so either you accept male dominance or you reject the film industry.",4,false dilemma
"Tortured prisoners will say anything, so you either believe everything is fake or trust no one ever.",4,false dilemma
"All mammals have hearts, so either you believe in biology or you're anti-science.",4,false dilemma
"Some books are written by AI, so you must choose between human writing or total automation.",4,false dilemma
"Every Olympic athlete trains daily, so either you train like them or you're just lazy.",4,false dilemma
"Some teachers assign weekend homework, so either you want smart kids or no weekends.",4,false dilemma
"My neighbor has never traveled abroad, so either he's totally unworldly or a shut-in.",4,false dilemma
"Jon has cooked steak like a pro, so either he becomes a chef or he's wasting his life.",4,false dilemma
"Crypto prices fluctuate wildly, so you either become rich or lose everything.",4,false dilemma
"Honey never spoils, so either you stockpile it or risk wasting food forever.",4,false dilemma
"Time heals emotional wounds, so either you wait or you'll never heal.",4,false dilemma
"The Great Wall is visible from space, so either you're amazed or you're just ignorant.",4,false dilemma
"Some lawyers are dishonest, so either you avoid them all or get betrayed.",4,false dilemma
"Most social media is addictive, so you either quit or become a mindless scroll-bot.",4,false dilemma
"Nothing travels faster than light, so either you accept physics or believe in fairy tales.",4,false dilemma
"Nobody enjoys waiting in traffic, so either take public transit or stay home.",4,false dilemma
"Some dogs detect seizures, so either you get a dog or risk your life.",4,false dilemma
"Not all electric cars are green, so either drive gas or give up transportation.",4,false dilemma
"Einstein developed relativity, so either you believe his theories or reject all science.",4,false dilemma
"Every continent has faced climate change, so either we panic or ignore the planet.",4,false dilemma
"Bananas contain potassium, so either eat them or risk deficiency.",4,false dilemma
"The internet came before smartphones, so either go offline or use only old tech.",4,false dilemma
"No reptiles produce milk, so either they're not animals or they're just aliens.",4,false dilemma
